Gender,BeginYear,Country
male,1929,United States
male,1929,France
male,1929,France
male,1929,Netherlands
male,1929,France
male,1929,United States
male,1929,United States
male,1929,United States
male,1929,United States
male,1929,United States
male,1929,United States
male,1929,United States
male,1929,United States
male,1929,United States
male,1929,United States
male,1929,United States
male,1929,United States
male,1929,United States
female,1929,United States
male,1929,United States
male,1929,United States
male,1929,United States
male,1929,United States
male,1929,United States
male,1930,France
male,1930,France
male,1930,France
male,1930,Italy
male,1930,France
male,1930,France
,1930,
male,1930,France
male,1930,France
male,1930,France
male,1930,France
male,1930,France
male,1930,France
female,1930,France
male,1930,France
male,1930,France
male,1930,France
male,1930,Spain
male,1930,Spain
male,1930,France
male,1930,France
male,1930,France
male,1930,France
male,1930,France
male,1930,France
male,1930,France
male,1930,Germany
male,1930,Germany
male,1930,France
male,1930,United States
,1930,
male,1930,United States
female,1930,United States
male,1930,United States
,1930,
,1930,
,1930,
male,1930,United States
male,1930,Spain
male,1930,United States
,1930,
,1930,
male,1930,United States
,1930,
male,1930,Mexico
male,1930,United States
male,1930,United States
,1930,
,1930,
male,1930,United States
,1930,
male,1930,United States
,1930,
,1930,
male,1930,United States
male,1930,United States
male,1930,United States
,1930,
,1930,
,1930,
,1930,
,1930,
male,1930,United States
,1930,
male,1930,United States
male,1930,United States
,1930,
male,1930,United States
,1930,
female,1930,United States
,1930,
,1930,
male,1930,United States
male,1930,United States
,1930,
male,1930,United States
,1930,
male,1930,United States
male,1930,United States
male,1930,United States
male,1930,United States
male,1930,Germany
male,1930,United States
male,1930,France
male,1930,United States
male,1930,France
male,1930,France
male,1930,United States
male,1930,Italy
male,1930,United States
male,1930,France
male,1930,France
male,1930,United States
male,1930,France
male,1930,United States
male,1930,France
male,1930,France
male,1930,France
male,1930,Netherlands
male,1930,France
male,1930,United States
male,1930,United States
male,1930,United States
male,1930,United States
male,1930,United States
male,1930,Germany
male,1930,United States
male,1930,United States
,1930,
female,1930,France
male,1930,France
male,1930,Germany
male,1930,France
male,1930,France
male,1930,United States
male,1930,United States
male,1930,France
male,1930,United States
male,1930,Spain
female,1930,United States
male,1930,United States
,1930,
male,1930,Spain
male,1930,France
male,1930,United States
male,1930,France
male,1930,France
male,1930,United States
male,1930,United States
male,1930,United States
male,1930,United States
male,1930,France
male,1930,United States
male,1930,France
male,1930,France
male,1930,United States
,1930,
male,1930,United States
male,1930,United States
male,1930,United States
male,1930,United States
male,1930,United States
,1930,
male,1930,United States
male,1930,United States
male,1930,United States
,1930,
male,1930,United States
male,1930,United States
male,1930,United States
male,1930,United States
male,1930,United States
male,1930,United States
female,1930,United States
male,1930,United States
male,1930,United States
male,1930,United States
male,1930,United States
male,1930,United States
male,1930,United States
male,1930,United States
male,1930,United States
male,1930,United States
male,1930,United States
male,1930,United States
male,1930,United States
male,1930,United States
,1930,
male,1930,United States
male,1930,United States
male,1930,United States
,1930,
male,1930,United States
male,1930,United States
male,1931,France
male,1931,France
male,1931,United States
male,1931,Germany
male,1931,Germany
male,1931,Germany
male,1931,Germany
male,1931,Germany
male,1931,Germany
male,1931,Italy
male,1931,United States
