Country,AggregateExh
United States,14112
France,3767
Germany,1741
United Kingdom,1156
Italy,848
Spain,669
Mexico,394
Netherlands,386
Switzerland,379
Russia,356
Japan,318
Austria,256
Belgium,204
Canada,126
Sweden,109
Poland,108
Chile,97
Brazil,87
Czech Republic,85
Argentina,77
Cuba,71
Denmark,60
Finland,58
Norway,49
Venezuela,38
Australia,34
Hungary,34
England,33
Israel,29
Colombia,29
Yugoslavia,25
Guatemala,24
Peru,21
Uruguay,19
Haiti,18
Greece,16
Latvia,16
Scotland,15
Romania,10
Ireland,9
Iceland,8
Turkey,7
Flanders,6
China,6
Florence,6
Bolivia,6
Ecuador,6
Ukraine,6
India,4
Croatia,4
Iran,4
Rhodesia,2
Venice,1
Bosnia And Herzegovina,1
Luxembourg,1
Georgia,1
Milan,1
New Zealand,1
Tanzania,1
Sudan,1
South Africa,1
Slovenia,1
Panama,1
Catalonia,1
